Ticker,RMSE (INR),MAPE (%)
HINDUNILVR.BO,55.669652064659765,1.7264493153277962
ASIANPAINT.BO,67.07279160159153,1.7785049414885927
ITC.BO,11.742308170882282,1.996431811765456
HDFCBANK.BO,45.06624360050322,2.0959322084133434
HDFCLIFE.BO,18.62661375833572,2.128195854965347
WIPRO.BO,7.009418472608794,2.1755243962459083
RELIANCE.BO,37.886208062282364,2.3755260412192247
INFY.BO,52.079637545130126,2.515466931433053
KOTAKBANK.BO,55.98819285609372,2.5684150811264574
TECHM.BO,50.965891067666156,2.6100758656900056
INDUSINDBK.BO,44.179360580169835,2.6479371608676323
TCS.BO,146.07782356141738,2.9080699448324165
BRITANNIA.BO,196.520603314867,3.103741472923916
DIVISLAB.BO,224.92488470831853,3.168431598605486
ADANIENT.BO,131.56465499971102,3.668859735477665
EICHERMOT.BO,226.96435179790114,3.7670196930187734
ADANIGREEN.BO,77.89734689147258,3.891789196732365
NESTLEIND.BO,116.18296710131436,3.9414462567292343
LTIM.BO,250.19370241092088,3.993704782927765
BAJFINANCE.BO,363.1315582330392,4.028808706326761
BAJAJFINSV.BO,85.75397299954285,4.42772517864351
HINDALCO.BO,35.352628821687404,4.52527270577244
SBILIFE.BO,101.58493531734155,5.248768873109581
TITAN.BO,223.56307535240407,5.714106210454081
UPL.BO,35.22559556515935,5.776511528221022
TATASTEEL.BO,11.594036280337125,6.492193590490697
DRREDDY.BO,95.6710419235319,7.09288571364978
ICICIBANK.BO,98.76146906633777,7.412918289872045
SBIN.BO,67.65674254438177,7.532526683137288
TATACONSUM.BO,103.36985912009145,8.013838594083932
TATAMOTORS.BO,94.97994611132229,8.423620929219219
ULTRACEMCO.BO,1125.4890797846572,8.756175614909788
HCLTECH.BO,177.17264587400328,9.063106105876862
AXISBANK.BO,112.29455827767795,9.082943577040561
JSWSTEEL.BO,92.85046240866978,9.20688495213778
LT.BO,382.9562400590593,10.179093138234778
SUNPHARMA.BO,205.47612362579247,10.558198845467366
MARUTI.BO,1413.195575328999,11.194480980667892
BHARTIARTL.BO,233.44484948371942,12.422556778488259
GRASIM.BO,371.0054865712569,13.006062494454271
CIPLA.BO,204.47177372829196,13.16579233024265
ADANIPORTS.BO,207.5871306821501,13.972944220559555
VEDL.BO,73.57856591215415,13.997645464148512
SHRIRAMFIN.BO,98.55715305708281,14.161054715043313
GAIL.BO,33.456117628205746,14.97977604103161
HEROMOTOCO.BO,811.5123701714443,15.0743701582383
POWERGRID.BO,54.71466859976706,15.71496276808423
NTPC.BO,64.6166435381013,16.424632781516806
BPCL.BO,56.021052650568734,16.90447752162815
ONGC.BO,51.01336244953724,17.59653295414535
M&M.BO,641.8965933597997,20.1886125749373
BAJAJ-AUTO.BO,2289.8755772812215,21.69926122481262
COALINDIA.BO,104.14844707106194,22.934966362202164
